playerID,SUM(b.H),SUM(b.HR),SUM(b.RBI),SUM(P.SO),AVG(P.ERA),inducted
decindo01,1505,237,879,NULL,NULL,N
dentbu01,1114,40,423,NULL,NULL,N
downibr01,2099,275,1073,NULL,NULL,N
garneph01,1594,109,738,NULL,NULL,N
griffke01,2143,152,859,NULL,NULL,N
madlobi01,2008,163,860,NULL,NULL,N
mcbriba01,1153,63,430,NULL,NULL,N
moraljo01,375,26,207,NULL,NULL,N
parkeda01,40680,5085,22395,NULL,NULL,N
scottto01,699,17,253,NULL,NULL,N
thomago01,1051,268,782,NULL,NULL,N
thornan01,1342,253,895,NULL,NULL,N
trillma01,1562,61,571,NULL,NULL,N
whitefr01,2006,160,886,NULL,NULL,N
winfida01,3110,465,1833,NULL,NULL,Y
zahnge01,84,0,14,9870,4.449285668986184,N
dennyjo01,1358,0,406,16044,3.44500001839229,N
forscbo01,3230,204,1428,19261,4.031764759736903,N
leonade01,0,0,0,15876,3.5899999936421714,N
rhoderi01,2896,144,1200,22704,3.754999965429306,N
tekulke01,170,0,34,13243,3.842941207044265,N
candejo01,2392,23,1104,38479,3.7917391424593716,N
eckerde01,600,75,300,60025,3.47040002822876,Y
flanami01,0,0,0,28329,4.068947377957795,N
guidrro01,0,0,0,224028,3.5414285830089023,N
stantmi01,8,0,0,2432,5.331250041723251,N
vuckope01,363,0,143,9702,4.643636400049383,N
kneppbo01,1840,96,944,23568,3.8199999779462814,N
krukomi01,1946,70,756,20692,4.234285763331822,N
martide01,1776,0,792,51576,4.02250000834465,N
mcgresc01,0,0,0,11752,4.452307682770949,N
sutclri01,1938,76,1045,31901,3.889473664133172,N
suttebr01,108,0,72,10332,3.079166720310847,Y
zachrpa01,396,0,66,7359,3.6563636389645664,N
hernawi01,182,0,42,11032,3.5921428629330228,N
honeyri01,576,0,216,24912,5.21124999721845,N
morrija02,0,0,0,669060,4.007222215334575,N
sotoma01,840,12,288,17388,3.8824999928474426,N
darwida01,975,50,550,48550,4.157600002288818,N
stewada01,380,0,152,66158,4.04842105664705,N
welchbo01,1496,34,510,33473,3.5964705803815056,N
gullibi01,1215,45,405,19185,3.78133331934611,N
leibrch01,448,0,196,15694,3.547142880303519,N
oroscje01,260,0,104,30654,3.7957692329700174,N
quiseda01,13,0,13,4927,3.759230760427622,N
reardje01,90,0,36,15786,3.293888919883304,N
righeda01,34,0,17,18904,4.464117569081924,N
scottmi03,1053,26,585,19097,4.499999963320219,N
stiebda01,0,0,0,26704,3.752499982714653,N
tudorjo01,767,0,234,12844,3.3807692436071544,N
bailobo01,775,9,222,0,7.710000038146973,N
boddimi01,0,0,0,19950,4.099999984105428,N
davisma01,468,18,162,18126,4.678888870610131,N
hurstbr01,496,0,128,27024,5.030000075697899,N
smithle02,945,315,630,394065,3.0028571287790933,N
valenfe01,6732,360,3024,74664,4.0533333089616566,N
bedrost01,225,0,30,13815,3.478666663169861,N
wittmi01,0,0,0,17849,4.300769219031701,N
henketo01,0,0,0,12054,2.7750000017029897,N
jonesdo01,18,0,0,16362,3.8111111521720886,N
violafr01,416,0,96,29504,4.192500069737434,N
candito01,630,0,216,31230,4.232777767711216,N
darliro01,1140,30,315,23850,4.185999965667724,N
fernasi01,1568,16,544,27888,3.773749977350235,N
hershor01,5868,0,1800,72504,4.057222207387288,N
jacksda02,918,0,476,20825,4.647647072287167,N
russeje01,176,16,160,11088,3.57250002771616,N
brownto05,1140,24,384,12000,4.234166661898295,N
clemero02,3720,0,1440,560640,3.220833331346512,N
deshaji01,429,0,156,12363,5.667692239467915,N
francjo01,63,0,21,20475,3.133809526761373,N
goodedw01,2610,144,1206,41274,4.225000010596381,N
keyji01,0,0,0,23070,3.7466666380564373,N
langsma01,238,0,85,41888,4.247058826334336,N
rijojo01,2380,56,812,44968,3.487857154437474,N
saberbr01,391,0,17,29155,3.8123529378105614,N
aguilri01,532,57,209,19570,3.496315755342182,N
myersra01,165,0,105,13260,3.2486666520436605,N
worreto01,22,0,0,6908,3.3081818493929775,N
brownke01,1216,38,551,45543,3.5526315726731954,N
coneda01,1216,0,418,50692,3.7284210481141744,N
drabedo01,1547,26,598,20722,3.95846150471614,N
finlech01,54,0,18,46980,3.9283333486980863,N
jacksmi02,85,0,17,17102,3.3688235423144173,N
maddugr01,6800,125,2100,84275,3.3843999910354614,Y
mulhote01,1794,52,598,34450,4.75230768093696,N
plesada01,20,0,0,20820,3.777999985218048,N
tewksbo01,700,0,266,11368,4.563571436064584,N
willimi02,33,11,44,7260,4.799090927297419,N
wittbo01,171,19,95,37145,5.028947403556423,N
glavito02,5412,22,1980,57354,3.706363623792475,Y
hennemi01,0,0,0,5863,3.3263636610724707,N
leiteal01,945,0,336,41454,5.358095248540242,N
mcdowja01,0,0,0,15732,4.223333388566971,N
mesajo01,0,0,0,22836,4.628181831403212,N
montgje01,0,0,0,9529,3.700769305229187,N
oneilpa01,2105,281,1269,34,13.5,N
wallati01,4170,520,2250,0,4.5,N
wellsda01,552,0,120,52824,4.145416657129924,N
gordoto01,0,0,0,42416,4.722727287899364,N
johnsra05,1872,24,960,117000,3.4808333615461984,Y
schilcu01,12285,0,3045,327180,3.9676190330868675,N
smoltjo01,3322,110,1342,67848,3.5099999850446526,Y
stottto01,750,15,165,23805,4.527333354949951,N
abbotji01,22,0,33,9768,4.496363683180376,N
appieke01,144,0,72,35892,4.940000043974982,N
rogerke01,189,0,84,41328,4.2704762277149015,N
wettejo01,84,12,96,9648,2.775833318630854,N
fernaal01,220,30,140,12520,3.7920000314712525,N
cansejo01,1877,462,1407,0,27,N
davisch01,2380,350,1372,0,0,N
boggswa01,6020,236,2028,36,3.375,Y
gaettga01,6840,1080,4023,22,6,N
harrile01,1055,37,369,23,0,N
bonilbo01,2010,287,1173,0,18,N
finlest01,2548,304,1167,0,0,N
gracema01,2445,173,1146,0,9,N
zeileto01,4008,506,2220,21,22.5,N
venturo01,1885,294,1182,0,0,N
burleri01,1401,50,449,NULL,NULL,N
cartega01,2092,324,1225,NULL,NULL,Y
hargrmi01,1614,80,686,NULL,NULL,N
hernake01,19638,1458,9639,NULL,NULL,N
howear01,682,43,293,NULL,NULL,N
howelro02,991,80,454,NULL,NULL,N
knighra01,1311,84,595,NULL,NULL,N
lynnfr01,3920,612,2222,NULL,NULL,N
parrila01,1789,256,992,NULL,NULL,N
riceji01,2452,382,1451,NULL,NULL,Y
stearjo01,696,46,312,NULL,NULL,N
summech01,350,54,218,NULL,NULL,N
sundbji01,1493,95,624,NULL,NULL,N
washicl01,1884,164,824,NULL,NULL,N
yountro01,3142,251,1406,NULL,NULL,Y
clarkja01,1826,340,1180,NULL,NULL,N
lemonch01,1875,215,884,NULL,NULL,N
randowi01,2210,54,687,NULL,NULL,N
remyje01,1226,7,329,NULL,NULL,N
valenel01,881,123,474,NULL,NULL,N
dauerri01,984,43,372,NULL,NULL,N
dawsoan01,2774,438,1591,NULL,NULL,Y
murphda05,31665,5970,18990,NULL,NULL,N
templga01,2096,70,728,NULL,NULL,N
wathajo01,656,21,261,NULL,NULL,N
wilsowi02,2207,41,585,NULL,NULL,N
leonaje01,1342,144,723,NULL,NULL,N
murraed02,3255,504,1917,NULL,NULL,Y
parrila02,1782,324,1070,NULL,NULL,N
puhlte01,1361,62,435,NULL,NULL,N
trammal01,35475,2775,15045,NULL,NULL,N
whitalo01,2369,244,1084,NULL,NULL,N
guerrpe01,1618,215,898,NULL,NULL,N
hornebo01,1047,218,685,NULL,NULL,N
kennete02,1313,113,628,NULL,NULL,N
lansfca01,2074,151,874,NULL,NULL,N
molitpa01,3319,234,1307,NULL,NULL,Y
smithlo01,1488,98,533,NULL,NULL,N
smithoz01,2460,28,793,NULL,NULL,Y
gibsoki01,1553,255,870,NULL,NULL,N
henderi01,3055,297,1115,NULL,NULL,Y
raineti01,2605,170,980,NULL,NULL,Y
baineha01,14330,1920,8140,NULL,NULL,N
brookhu01,1608,149,824,NULL,NULL,N
penato01,1687,107,708,NULL,NULL,N
bellge02,1702,265,1002,NULL,NULL,N
butlebr01,2375,54,578,NULL,NULL,N
hendeda01,1324,197,708,NULL,NULL,N
hrbekke01,1749,293,1086,NULL,NULL,N
rayjo01,1502,53,594,NULL,NULL,N
ripkeca01,3184,431,1695,NULL,NULL,Y
sandbry01,2386,282,1061,NULL,NULL,Y
saxst01,1949,54,550,NULL,NULL,N
eisenji01,1160,52,477,NULL,NULL,N
gwynnto01,3141,135,1138,NULL,NULL,Y
johnsho01,1229,228,760,NULL,NULL,N
mattido01,32295,3330,16485,NULL,NULL,N
mcgeewi01,4508,158,1712,NULL,NULL,N
phillto02,2023,160,819,NULL,NULL,N
cartejo01,2184,396,1445,NULL,NULL,N
daultda01,891,137,588,NULL,NULL,N
fernato01,2276,94,844,NULL,NULL,N
nixonot01,1379,11,318,NULL,NULL,N
samueju01,1578,161,703,NULL,NULL,N
strawda01,1401,335,1000,NULL,NULL,N
vanslan01,1562,164,792,NULL,NULL,N
daviser01,1430,282,934,NULL,NULL,N
mitchke01,1173,234,760,NULL,NULL,N
pendlte01,1897,140,946,NULL,NULL,N
puckeki01,2304,207,1085,NULL,NULL,Y
tartada01,1366,262,925,NULL,NULL,N
tettlmi01,1132,245,732,NULL,NULL,N
colemvi01,1425,28,346,NULL,NULL,N
dunstsh01,1597,150,668,NULL,NULL,N
dykstle01,1298,81,404,NULL,NULL,N
fieldce01,1313,319,1008,NULL,NULL,N
galaran01,2333,399,1425,NULL,NULL,N
greenmi01,1400,130,726,NULL,NULL,N
guilloz01,1764,28,619,NULL,NULL,N
whitede03,1934,208,846,NULL,NULL,N
bellja01,1963,195,860,NULL,NULL,N
bondsba01,14675,3810,9980,NULL,NULL,N
clarkwi02,2176,284,1205,NULL,NULL,N
joynewa01,2060,204,1106,NULL,NULL,N
krukjo01,1170,100,592,NULL,NULL,N
larkiba01,2340,198,960,NULL,NULL,Y
mcgrifr01,19920,3944,12400,NULL,NULL,N
mcgwima01,16260,5830,14140,NULL,NULL,N
palmera01,12080,2276,7340,NULL,NULL,N
santibe01,1830,217,920,NULL,NULL,N
sierrru01,2152,306,1322,NULL,NULL,N
steinte01,1453,162,745,NULL,NULL,N
thompro01,1187,119,458,NULL,NULL,N
buhneja01,1273,310,965,NULL,NULL,N
burksel01,2107,352,1206,NULL,NULL,N
caminke01,1710,239,983,NULL,NULL,N
gantro01,1651,321,1008,NULL,NULL,N
jeffegr01,1593,126,663,NULL,NULL,N
martied01,17976,2472,10088,NULL,NULL,N
surhobj01,2326,188,1153,NULL,NULL,N
weisswa01,1207,25,386,NULL,NULL,N
willima04,1878,378,1218,NULL,NULL,N
alomaro01,2724,210,1134,NULL,NULL,Y
alomasa02,1236,112,588,NULL,NULL,N
anderbr01,1661,210,761,NULL,NULL,N
bicheda01,1906,274,1141,NULL,NULL,N
biggicr01,3060,291,1175,NULL,NULL,Y
morriha02,1216,76,513,NULL,NULL,N
